DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2001-01-01,18955.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2001-01-01,24415.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2001-01-01,22079.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2001-01-01,64925.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2001-01-01,5002.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2001-01-01,208252.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LT,2001-01-01,4694.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,2001-01-01,12135.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,2001-01-01,5376.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NL,2001-01-01,133404.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NO,2001-01-01,34264.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PL,2001-01-01,6625.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PT,2001-01-01,61609.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SE,2001-01-01,60795.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SI,2001-01-01,7803.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SK,2001-01-01,2023.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2001-01-01,372206.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2002-01-01,108125.0,b,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2002-01-01,113857.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2002-01-01,127340.0,,
